CompanyName,CompanyNumber,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,IncorporationDate,SICCode.SicText_1
AJ PARTITIONS AND CEILINGS LTD,14816463,PARKINS ACCOUNTANTS,"MOOR PARK HOUSE, BAWTRY ROAD",ROTHERHAM,SOUTH YORKSHIRE,ENGLAND,S66 2BL,Private Limited Company,Active,20/04/2023,43310 - Plastering
ANDREWS RESIDENTIAL LIMITED,12574830,"OFFICE 5, MARLOWE HOUSE WATLING STREET",HOCKLIFFE,LEIGHTON BUZZARD,,ENGLAND,LU7 9LS,Private Limited Company,Active,28/04/2020,68209 - Other letting and operating of own or leased real estate
AOB SUBSEA LTD,SC682059,4 WEST CRAIBSTONE STREET,(BON-ACCORD SQUARE),ABERDEEN,ABERDEENSHIRE,UNITED KINGDOM,AB11 6YL,Private Limited Company,Active,26/11/2020,71129 - Other engineering activities
ARLINGTON GROUP ASSET MANAGEMENT LIMITED,02359077,15 WHITEHALL,,LONDON,,,SW1A 2DD,Private Limited Company,Active,10/03/1989,64999 - Financial intermediation not elsewhere classified
ASTRAZENECA UK LIMITED,03674842,1 FRANCIS CRICK AVENUE,CAMBRIDGE BIOMEDICAL CAMPUS,CAMBRIDGE,,UNITED KINGDOM,CB2 0AA,Private Limited Company,Active,26/11/1998,70100 - Activities of head offices
AUDIO NUTRITION LTD,17027036,160 PRESTON NEW ROAD,,BLACKPOOL,,ENGLAND,FY4 4HE,Private Limited Company,Active,11/02/2026,59200 - Sound recording and music publishing activities
AV GLOBAL HOLDINGS LTD,17196916,7 DOVE GARDENS,WOODSTON,PETERBOROUGH,,ENGLAND,PE2 9PX,Private Limited Company,Active,04/05/2026,49410 - Freight transport by road
AVTAR INVESTMENTS LTD,16376979,11 HORNBY ROAD,GOLDTHORN PARK,WOLVERHAMPTON,,ENGLAND,WV4 5EU,Private Limited Company,Active,09/04/2025,68209 - Other letting and operating of own or leased real estate
B & D ELIAS PROPERTIES LTD,12885766,4 HIGH STREET,PONTARDAWE,SWANSEA,,WALES,SA8 4HU,Private Limited Company,Active,17/09/2020,68209 - Other letting and operating of own or leased real estate
BLAIRGOWRIE EVANGELICAL CHURCH SCIO,CS007183,,,,,,,Scottish Charitable Incorporated Organisation,Active,31/10/2024,None Supplied
BLOOMSBURY COURT INTERIORS LIMITED,14669938,436-438 GREEN LANES,,LONDON,,ENGLAND,N13 5XG,Private Limited Company,Active,17/02/2023,47540 - Retail sale of electrical household appliances in specialised stores
BRACI1 LIMITED,09036672,11 BRINDLEY PLACE,BRUNSWICK SQUARE,BIRMINGHAM,,ENGLAND,B1 2LP,Private Limited Company,Active,13/05/2014,62011 - Ready-made interactive leisure and entertainment software development
BURLINGTON WELLESLEY SEARCH LIMITED,08319137,16 BEAUFORT COURT,ADMIRALS WAY DOCKLANDS,LONDON,,,E14 9XL,Private Limited Company,Active,05/12/2012,82990 - Other business support service activities n.e.c.
CAD CONSULTANTS LTD,08428844,42 APPLEBEES MEADOW,,HINCKLEY,,ENGLAND,LE10 0FL,Private Limited Company,Active,04/03/2013,62020 - Information technology consultancy activities
CANDEY LIMITED,08225765,8 STONE BUILDINGS,LINCOLN'S INN,LONDON,,UNITED KINGDOM,WC2A 3TA,Private Limited Company,Active,24/09/2012,69102 - Solicitors
CHARLIE PERKINS LIMITED,04552314,C/O AZETS ORION HOUSE (GROUND FLOOR),ORION WAY,KETTERING,NORTHAMPTONSHIRE,UNITED KINGDOM,NN15 6PE,Private Limited Company,Active,03/10/2002,99999 - Dormant Company
CHRONOBAND104 LTD,11693997,53 VICTORIA AVENUE,,BARROW-IN-FURNESS,,ENGLAND,LA14 5JZ,Private Limited Company,Active,23/11/2018,96090 - Other service activities n.e.c.
CLARITY FINANCIAL LIMITED,NI686959,35 MCCRAES BRAE,WHITEHEAD,CARRICKFERGUS,,NORTHERN IRELAND,BT38 9NZ,Private Limited Company,Active,28/03/2022,66220 - Activities of insurance agents and brokers
CO BUILT FABRICATION LIMITED,07599257,2-3 SHELDON HOUSE,SHEEP STREET,SHIPSTON-ON-STOUR,,ENGLAND,CV36 4AF,Private Limited Company,Active,11/04/2011,25990 - Manufacture of other fabricated metal products n.e.c.
CUBAN BOXING ACADEMY CIC,12994677,CUBAN BOXING ACADEMY 61 - 63 BARD ROAD,UNIT 1 AND 2,LONDON,,ENGLAND,W10 6TH,Community Interest Company,Active,03/11/2020,85510 - Sports and recreation education
CUENCA HOLDINGS LTD,17005727,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,02/02/2026,64209 - Activities of other holding companies n.e.c.
DATE PALM NURSERIES LTD,12744699,DATE PALM NURSERIES LTD,80-82 GREENFIELD ROAD,LONDON,,ENGLAND,E1 1EJ,Private Limited Company,Active,15/07/2020,85100 - Pre-primary education
EAST LONDON SEND SUPPORT AND CONSULTANCY LTD,16586254,244 BECK SQUARE,,LONDON,,ENGLAND,E10 7GA,Private Limited Company,Active,16/07/2025,85590 - Other education n.e.c.
ELIADE & ELIORA LTD,15235246,22 WHEATFIELD,,HEMEL HEMPSTEAD,,ENGLAND,HP2 5YT,Private Limited Company,Active,25/10/2023,71129 - Other engineering activities
F.M.L. ROBERTS (ENGINEERS) LIMITED,00721433,OAKLEY HOUSE GARAGE WELLINGTON ROAD,HORSEHAY,TELFORD,SHROPSHIRE,,TF4 3BT,Private Limited Company,Active,12/04/1962,45200 - Maintenance and repair of motor vehicles
FIRSTLOOKCV LTD,16683860,4 MARIGOLD DRIVE,WILLESBOROUGH,ASHFORD,,ENGLAND,TN24 0NF,Private Limited Company,Active,01/09/2025,78109 - Other activities of employment placement agencies
FLOW MOTION PICTURE SERVICES LTD,09134901,C/O RPGCC,40 GRACECHURCH STREET,LONDON,,ENGLAND,EC3V 0BT,Private Limited Company,Active,17/07/2014,59111 - Motion picture production activities
GENFORI LIMITED,15253740,21 BEACON ROAD,,CHATHAM,KENT,ENGLAND,ME5 7BW,Private Limited Company,Active,01/11/2023,86101 - Hospital activities
GLOBAL LINK INVESTMENT LIMITED,12172463,"GROUND FLOOR, FINCHALE HOUSE",BELMONT BUSINESS PARK,DURHAM,,ENGLAND,DH1 1TW,Private Limited Company,Active,23/08/2019,68209 - Other letting and operating of own or leased real estate
GO FLOW DRAINAGE LTD,16991809,32 THE CRESCENT,,SPALDING,,ENGLAND,PE11 1AF,Private Limited Company,Active,27/01/2026,43390 - Other building completion and finishing
GOOP MEDIA LIMITED,17350554,29 KEITH GROVE,,LONDON,,ENGLAND,W12 9EY,Private Limited Company,Active,20/07/2026,59112 - Video production activities
GORILLA AGENCY LTD,16725888,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,18/09/2025,62012 - Business and domestic software development
HAFFNER KITCHEN LTD,13739649,4 CAPRICORN CENTRE,CRANES FARM ROAD,BASILDON,ESSEX,ENGLAND,SS14 3JJ,Private Limited Company,Active,12/11/2021,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes
HEDGEMAN ASSOCIATES LIMITED,09221800,HOLM OAK,GRUBWOOD LANE,MAIDENHEAD,,,SL6 9UB,Private Limited Company,Active,17/09/2014,70229 - Management consultancy activities other than financial management
HIMBOL SHOPPING CENTRE LIMITED,16278184,136-150 SOHO HILL,,BIRMINGHAM,,ENGLAND,B19 1AF,Private Limited Company,Active,26/02/2025,68209 - Other letting and operating of own or leased real estate
IMAGE SCAN HOLDINGS PLC,03062983,16 & 18 HAYHILL,SILEBY ROAD BARROW UPON SOAR,LOUGHBOROUGH,LEICESTERSHIRE,UNITED KINGDOM,LE12 8LD,Public Limited Company,Active,31/05/1995,"26600 - Manufacture of irradiation, electromedical and electrotherapeutic equipment"
IN2INTERIORS LTD,08620572,17 THE RYDE,,STAINES UPON THAMES,SURREY,UNITED KINGDOM,TW18 2SL,Private Limited Company,Active,23/07/2013,43390 - Other building completion and finishing
INFINIITY 3 CONTRACTS LIMITED,08626768,30 DRAPER CLOSE,,GRAYS,ESSEX,ENGLAND,RM20 4BJ,Private Limited Company,Active,26/07/2013,78300 - Human resources provision and management of human resources functions
INKY SIREN LTD,16927638,153 RALEIGH CRESCENT,,STEVENAGE,,ENGLAND,SG2 0EB,Private Limited Company,Active,22/12/2025,90030 - Artistic creation
INTERNATIONAL PENTECOSTAL HOLINESS CHURCH (IPHC) IN SCOTLAND,CS007797,,,,,,,Scottish Charitable Incorporated Organisation,Active,30/09/2025,None Supplied
IPLEX PICTURES LTD,13907680,28-29 THE BROADWAY NO:1,EALING BROADWAY,LONDON,,ENGLAND,W5 2NP,Private Limited Company,Active,10/02/2022,59112 - Video production activities
J & D ESTATE HOLDINGS LTD,15690797,2-3 CHARTER POINT WAY,,ASHBY-DE-LA-ZOUCH,LEICESTERSHIRE,ENGLAND,LE65 1NF,Private Limited Company,Active,29/04/2024,68100 - Buying and selling of own real estate
J & H HOUSING LTD,13646894,114 FALLOWFIELD ROAD,,COLCHESTER,ESSEX,ENGLAND,CO2 9NB,Private Limited Company,Active,28/09/2021,68209 - Other letting and operating of own or leased real estate
JEM HOLDINGS (CORNWALL) LIMITED,14993238,UNIT 2 NEWQUAY ROAD BUSINESS PARK,ST COLUMB ROAD,ST COLUMB,,UNITED KINGDOM,TR9 6RT,Private Limited Company,Active,10/07/2023,64209 - Activities of other holding companies n.e.c.
JK CONSTRUCTION (HAMPSHIRE) LIMITED,09578596,12 BEECH RIDE,,SANDHURST,BERKSHIRE,,GU47 8PR,Private Limited Company,Active,07/05/2015,41100 - Development of building projects
JOE DAWSONS OF BUCKIE FUNERAL HOME LTD,SC760936,25 EAST CATHCART STREET,,BUCKIE,,SCOTLAND,AB56 1PJ,Private Limited Company,Active,03/03/2023,96030 - Funeral and related activities
JTD CONNECTIONS LIMITED,08581509,2 LATTON CLOSE,,ESHER,SURREY,,KT10 8PX,Private Limited Company,Active,24/06/2013,70229 - Management consultancy activities other than financial management
KLIMATECH MANAGEMENT LIMITED,09097336,11 ALMA ROAD,SNETTISHAM,KING'S LYNN,,ENGLAND,PE31 7NY,Private Limited Company,Active,23/06/2014,70229 - Management consultancy activities other than financial management
KOMRON INDUSTRIAL COMPANY GROUP LTD,05885847,SUITE 12 2ND FLOOR QUEENS HOUSE,180 TOTTENHAM COURT ROAD,LONDON,,,W1T 7PD,Private Limited Company,Active,25/07/2006,82990 - Other business support service activities n.e.c.
LAURENCE MURRAY LIMITED,06015456,93 ALDWICK ROAD,BOGNOR REGIS,WEST SUSSEX,,,PO21 2NW,Private Limited Company,Active,30/11/2006,86230 - Dental practice activities
LINEAGE PROPERTY MANAGEMENT LTD,15300651,21 21 CHATSWORTH RISE,,COVENTRY,UNITED KINGDOM,UNITED KINGDOM,CV3 5NR,Private Limited Company,Active,21/11/2023,68320 - Management of real estate on a fee or contract basis
LWCN PROPERTIES LTD,17112861,LANDMARK HOUSE 43-45,MERTON ROAD,BOOTLE,MERSEYSIDE,ENGLAND,L20 7AP,Private Limited Company,Active,24/03/2026,68100 - Buying and selling of own real estate
M & A BELL (ELECTRICALS) LIMITED,08337117,22 RIVERSIDE STUDIOS AMETHYST ROAD,NEWCASTLE BUSINESS PARK,NEWCASTLE UPON TYNE,,ENGLAND,NE4 7YL,Private Limited Company,Active,19/12/2012,96090 - Other service activities n.e.c.
MAGUEY MT INVESTMENTS LIMITED,13581650,2ND FLOOR,9 CHAPEL PLACE,LONDON,,UNITED KINGDOM,EC2A 3DQ,Private Limited Company,Active,24/08/2021,82990 - Other business support service activities n.e.c.
MARRA MADE LTD,16396494,80 BARNSLEY ROAD,HEMSWORTH,PONTEFRACT,,ENGLAND,WF9 4QX,Private Limited Company,Active,19/04/2025,"15120 - Manufacture of luggage, handbags and the like, saddlery and harness"
NICK CLAYTON LIMITED,04944622,865 DREWITT HOUSE,865 RINGWOOD ROAD,BOURNEMOUTH,,UNITED KINGDOM,BH11 8LW,Private Limited Company,Active,27/10/2003,69201 - Accounting and auditing activities
NIPUN UK LTD,10173237,14 TALBOT CLOSE,,MITCHAM,,ENGLAND,CR4 1FF,Private Limited Company,Active,10/05/2016,49320 - Taxi operation
NORTH ROAD BUILD LTD,16418116,38 HIGH STREET,,HECKMONDWIKE,,ENGLAND,WF16 0AQ,Private Limited Company,Active,29/04/2025,68100 - Buying and selling of own real estate
NWG ARCHITECTURE LTD,15602230,2A-3A MARKET GATE,,PERSHORE,WORCESTERSHIRE,UNITED KINGDOM,WR10 1DZ,Private Limited Company,Active,29/03/2024,71111 - Architectural activities
ONE WORLD COMMODITIES LIMITED,08766152,1 ELMFIELD PARK,,BROMLEY,,ENGLAND,BR1 1LU,Private Limited Company,Active,07/11/2013,82990 - Other business support service activities n.e.c.
PANGAEA PROPERTIES LIMITED,05457934,"15 BOLTONS LANE, BINFIELD",BRACKNELL,BERKSHIRE,,,RG42 4UA,Private Limited Company,Active,20/05/2005,68209 - Other letting and operating of own or leased real estate
PDW CONSULTANCY LTD,15876968,5 BRAYFORD SQUARE,,LONDON,,ENGLAND,E1 0SG,Private Limited Company,Active,05/08/2024,41100 - Development of building projects
PERFECTION IN LEARNING LTD,10560004,WINDY RIDGE FEATHERBED LANE,CARTERS CORNER,HAILSHAM,,ENGLAND,BN27 4HX,Private Limited Company,Active,12/01/2017,85600 - Educational support services
PERNO LEISURE LIMITED,09476731,UNIT I CLAYTON BUSINESS CENTRE,MIDLAND ROAD,LEEDS,WEST YORKSHIRE,ENGLAND,LS10 2RJ,Private Limited Company,Active,09/03/2015,62090 - Other information technology service activities
PHILIP REEVE CONSULTING LIMITED,14678706,4 COUNTERS CLOSE,,HEMEL HEMPSTEAD,,ENGLAND,HP1 1SE,Private Limited Company,Active,21/02/2023,62020 - Information technology consultancy activities
POLYMATHS R&D LIMITED,10553320,OXFORD UNIVERSITY INNOVATION BUXTON COURT,3 WEST WAY,OXFORD,,ENGLAND,OX2 0JB,Private Limited Company,Active,09/01/2017,72190 - Other research and experimental development on natural sciences and engineering
POWER IN PEOPLE LTD,15457792,FLAT 1 ORCHARD HOUSE,5 WOODLANDS ROAD,BROMLEY,,ENGLAND,BR1 2AD,Private Limited Company,Active,31/01/2024,73110 - Advertising agencies
POWERHAND LIMITED,SC218344,PARKGATE,,DUMFRIES,,,DG1 3NB,Private Limited Company,Active,23/04/2001,74990 - Non-trading company
PVP DEVELOPMENTS LTD,SC464552,"1/1, 15 NORTH CLAREMONT STREET",,GLASGOW,,SCOTLAND,G3 7NR,Private Limited Company,Active,26/11/2013,41100 - Development of building projects
RECYCLE GEMINI LTD,16756798,71 LADIES LANE,HINDLEY,WIGAN,,ENGLAND,WN2 2QG,Private Limited Company,Active,01/10/2025,46900 - Non-specialised wholesale trade
RESONANT COACH LTD,17094455,7 THE GRANGE,CARLTON,WAKEFIELD,,ENGLAND,WF3 3TR,Private Limited Company,Active,16/03/2026,70229 - Management consultancy activities other than financial management
REVIVAL RACING MOTORCYCLE CLUB LTD,NI658068,35 POND PARK ROAD LISBURN,POND PARK ROAD,LISBURN,,NORTHERN IRELAND,BT28 3LA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,03/01/2019,93120 - Activities of sport clubs
RONKAR LTD,07757394,12 PARTRIDGE DRIVE,,ORPINGTON,,ENGLAND,BR6 8PE,Private Limited Company,Active,31/08/2011,70229 - Management consultancy activities other than financial management
ROSEWOOD CONTRACTORS LTD,13808263,80-81 ST. MARTIN'S LANE,,LONDON,,ENGLAND,WC2N 4AA,Private Limited Company,Active,20/12/2021,99999 - Dormant Company
ROVAIRE LIMITED,16892529,2ND FLOOR NORTHUMBERLAND HOUSE,303-306 HIGH HOLBORN,LONDON,,ENGLAND,WC1V 7JZ,Private Limited Company,Active,05/12/2025,59200 - Sound recording and music publishing activities
S & S PROPERTY RENTALS LTD,16270421,21 PENROSE GARDENS,MIDDLETON,MIDDLETON,LANCASHIRE,ENGLAND,M24 2SY,Private Limited Company,Active,24/02/2025,68209 - Other letting and operating of own or leased real estate
SAIESH CONSULTING LTD,10759773,68 WESTMOUNT CLOSE,,WORCESTER PARK,,ENGLAND,KT4 8FL,Private Limited Company,Active,08/05/2017,62012 - Business and domestic software development
SANGNAA LIMITED,09444645,168 LONGBRIDGE ROAD,,BARKING,ESSEX,UNITED KINGDOM,IG11 8SS,Private Limited Company,Active,17/02/2015,43390 - Other building completion and finishing
SAXILBY PROPERTIES LTD,04887044,31 ABBEY ROAD,GRIMSBY,,,,DN32 0HQ,Private Limited Company,Active,04/09/2003,43390 - Other building completion and finishing
SDA INFRASTRUCTURE LTD,17038292,"3RD FLOOR, 86-90",PAUL STREET,LONDON,,ENGLAND,EC2A 4NE,Private Limited Company,Active,17/02/2026,78109 - Other activities of employment placement agencies
SHAMZECO LIMITED,16105185,10 KELSALL GROVE,,LEEDS,,ENGLAND,LS6 1QY,Private Limited Company,Active,27/11/2024,47910 - Retail sale via mail order houses or via Internet
SILVERFOX PROPERTY GROUP LTD,14969316,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,29/06/2023,68100 - Buying and selling of own real estate
SONOBOTICS LTD,12318687,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,18/11/2019,71122 - Engineering related scientific and technical consulting activities
SPARKSIGHT LTD,16230904,11 LINACRE AVENUE,,NORWICH,,ENGLAND,NR7 8PF,Private Limited Company,Active,05/02/2025,86900 - Other human health activities
SPURS HEALTH SOLUTIONS LTD,17277904,APARTMENT 7 N V BUILDING,96 THE QUAYS,SALFORD,,ENGLAND,M50 3BB,Private Limited Company,Active,17/06/2026,86900 - Other human health activities
SQUAREWALK LIMITED,01894466,UNIT 14 PARK ROAD ESTATE,PARK ROAD,TIMPERLEY,CHESHIRE,,WA14 5QH,Private Limited Company,Active,12/03/1985,"46342 - Wholesale of wine, beer, spirits and other alcoholic beverages"
SQUIDDY LTD,12959277,10 THE SWEYNS,,HARLOW,,ENGLAND,CM17 9BL,Private Limited Company,Active,19/10/2020,59111 - Motion picture production activities
STAYCITY STRAND LIMITED,09026493,STAYCITY APARTHOTELS HEATHROW HIGH,POINT VILLAGE,HAYES,LONDON,UNITED KINGDOM,UB3 4FN,Private Limited Company,Active,06/05/2014,55100 - Hotels and similar accommodation
STERLING GLOBAL PROPERTY MANAGEMENT LTD,16682360,6 PARADISE STREET,,RHYL,,WALES,LL18 3LW,Private Limited Company,Active,29/08/2025,41100 - Development of building projects
SWISS BREAD (UK) LIMITED,09519153,175 ASHBURNHAM ROAD,,RICHMOND,SURREY,UNITED KINGDOM,TW10 7NR,Private Limited Company,Active,31/03/2015,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes
SWOUDOU LTD,16532357,124 CITY  ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,20/06/2025,"47990 - Other retail sale not in stores, stalls or markets"
THE ISLE OF SKYE BAKING COMPANY LIMITED,SC384970,ISLE OF SKYE BAKING COMPANY,DUNVEGAN ROAD,PORTREE,,SCOTLAND,IV51 9HF,Private Limited Company,Active,07/09/2010,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes
THE PEPPERPOT CATERING COMPANY LTD,12100654,151 HASLINGDEN ROAD,,BLACKBURN,,ENGLAND,BB1 2ND,Private Limited Company,Active,12/07/2019,56210 - Event catering activities
TIDY HOLDINGS LIMITED,06836243,UNIT 2 PENTAGON ISLAND,NOTTINGHAM ROAD,DERBY,DERBYSHIRE,,DE21 6BW,Private Limited Company,Active,04/03/2009,32990 - Other manufacturing n.e.c.
TROJIS LTD,17350389,45 DUDLEY CLOSE,CHAFFORD HUNDRED,GRAYS,,ENGLAND,RM16 6PF,Private Limited Company,Active,20/07/2026,73110 - Advertising agencies
TUTOM LIMITED,16259094,UNIT 82A JAMES CARTER ROAD,MILDENHALL,BURY ST. EDMUNDS,,ENGLAND,IP28 7DE,Private Limited Company,Active,18/02/2025,68209 - Other letting and operating of own or leased real estate
VAE HEALTH LTD,14454935,2 HAWTHORN CLOSE,RICHMOND PARK,GNOSALL,STAFFORDSHIRE,ENGLAND,ST20 0LY,Private Limited Company,Active,01/11/2022,62090 - Other information technology service activities
WEST MIDLANDS MORTGAGE CENTRE LIMITED,10405186,AUCKLAND HOUSE,LYDIARD FIELDS,SWINDON,,ENGLAND,SN5 8UB,Private Limited Company,Active,01/10/2016,99999 - Dormant Company
WHISPER AND SHOUT CREATIVE LIMITED,09874714,28 BROCK STREET,,BATH,SOMERSET,UNITED KINGDOM,BA1 2LN,Private Limited Company,Active,16/11/2015,74100 - specialised design activities
WILLS AND WILKIN LIMITED,00774750,THE ORIEL ROOM WARE PRIORY,HIGH STREET,WARE,HERTFORDSHIRE,,SG12 9AL,Private Limited Company,Active,23/09/1963,01630 - Post-harvest crop activities
