CompanyName,CompanyNumber,RegAddress.AddressLine1,RegAddress.PostTown,RegAddress.PostCode,Source,SourceURL,VATCandidate,HMRCValid,HMRCName,HMRCAddress,CompanyMatch,FinalStatus,Notes
AJ PARTITIONS AND CEILINGS LTD,14816463,PARKINS ACCOUNTANTS,ROTHERHAM,S66 2BL,,,,,,,,NOT CHECKED,
ANDREWS RESIDENTIAL LIMITED,12574830,"OFFICE 5, MARLOWE HOUSE WATLING STREET",LEIGHTON BUZZARD,LU7 9LS,,,,,,,,NOT CHECKED,
AOB SUBSEA LTD,SC682059,4 WEST CRAIBSTONE STREET,ABERDEEN,AB11 6YL,,,,,,,,NOT CHECKED,
ARLINGTON GROUP ASSET MANAGEMENT LIMITED,02359077,15 WHITEHALL,LONDON,SW1A 2DD,,,,,,,,NOT CHECKED,
ASTRAZENECA UK LIMITED,03674842,1 FRANCIS CRICK AVENUE,CAMBRIDGE,CB2 0AA,,,,,,,,NOT CHECKED,
AUDIO NUTRITION LTD,17027036,160 PRESTON NEW ROAD,BLACKPOOL,FY4 4HE,,,,,,,,NOT CHECKED,
AV GLOBAL HOLDINGS LTD,17196916,7 DOVE GARDENS,PETERBOROUGH,PE2 9PX,,,,,,,,NOT CHECKED,
AVTAR INVESTMENTS LTD,16376979,11 HORNBY ROAD,WOLVERHAMPTON,WV4 5EU,,,,,,,,NOT CHECKED,
B & D ELIAS PROPERTIES LTD,12885766,4 HIGH STREET,SWANSEA,SA8 4HU,,,,,,,,NOT CHECKED,
BLAIRGOWRIE EVANGELICAL CHURCH SCIO,CS007183,,,,,,,,,,,NOT CHECKED,
BLOOMSBURY COURT INTERIORS LIMITED,14669938,436-438 GREEN LANES,LONDON,N13 5XG,,,,,,,,NOT CHECKED,
BRACI1 LIMITED,09036672,11 BRINDLEY PLACE,BIRMINGHAM,B1 2LP,,,,,,,,NOT CHECKED,
BURLINGTON WELLESLEY SEARCH LIMITED,08319137,16 BEAUFORT COURT,LONDON,E14 9XL,,,,,,,,NOT CHECKED,
CAD CONSULTANTS LTD,08428844,42 APPLEBEES MEADOW,HINCKLEY,LE10 0FL,,,,,,,,NOT CHECKED,
CANDEY LIMITED,08225765,8 STONE BUILDINGS,LONDON,WC2A 3TA,,,,,,,,NOT CHECKED,
CHARLIE PERKINS LIMITED,04552314,C/O AZETS ORION HOUSE (GROUND FLOOR),KETTERING,NN15 6PE,,,,,,,,NOT CHECKED,
CHRONOBAND104 LTD,11693997,53 VICTORIA AVENUE,BARROW-IN-FURNESS,LA14 5JZ,,,,,,,,NOT CHECKED,
CLARITY FINANCIAL LIMITED,NI686959,35 MCCRAES BRAE,CARRICKFERGUS,BT38 9NZ,,,,,,,,NOT CHECKED,
CO BUILT FABRICATION LIMITED,07599257,2-3 SHELDON HOUSE,SHIPSTON-ON-STOUR,CV36 4AF,,,,,,,,NOT CHECKED,
CUBAN BOXING ACADEMY CIC,12994677,CUBAN BOXING ACADEMY 61 - 63 BARD ROAD,LONDON,W10 6TH,,,,,,,,NOT CHECKED,
CUENCA HOLDINGS LTD,17005727,71-75 SHELTON STREET,LONDON,WC2H 9JQ,,,,,,,,NOT CHECKED,
DATE PALM NURSERIES LTD,12744699,DATE PALM NURSERIES LTD,LONDON,E1 1EJ,,,,,,,,NOT CHECKED,
EAST LONDON SEND SUPPORT AND CONSULTANCY LTD,16586254,244 BECK SQUARE,LONDON,E10 7GA,,,,,,,,NOT CHECKED,
ELIADE & ELIORA LTD,15235246,22 WHEATFIELD,HEMEL HEMPSTEAD,HP2 5YT,,,,,,,,NOT CHECKED,
F.M.L. ROBERTS (ENGINEERS) LIMITED,00721433,OAKLEY HOUSE GARAGE WELLINGTON ROAD,TELFORD,TF4 3BT,,,,,,,,NOT CHECKED,
FIRSTLOOKCV LTD,16683860,4 MARIGOLD DRIVE,ASHFORD,TN24 0NF,,,,,,,,NOT CHECKED,
FLOW MOTION PICTURE SERVICES LTD,09134901,C/O RPGCC,LONDON,EC3V 0BT,,,,,,,,NOT CHECKED,
GENFORI LIMITED,15253740,21 BEACON ROAD,CHATHAM,ME5 7BW,,,,,,,,NOT CHECKED,
GLOBAL LINK INVESTMENT LIMITED,12172463,"GROUND FLOOR, FINCHALE HOUSE",DURHAM,DH1 1TW,,,,,,,,NOT CHECKED,
GO FLOW DRAINAGE LTD,16991809,32 THE CRESCENT,SPALDING,PE11 1AF,,,,,,,,NOT CHECKED,
GOOP MEDIA LIMITED,17350554,29 KEITH GROVE,LONDON,W12 9EY,,,,,,,,NOT CHECKED,
GORILLA AGENCY LTD,16725888,71-75 SHELTON STREET,LONDON,WC2H 9JQ,,,,,,,,NOT CHECKED,
HAFFNER KITCHEN LTD,13739649,4 CAPRICORN CENTRE,BASILDON,SS14 3JJ,,,,,,,,NOT CHECKED,
HEDGEMAN ASSOCIATES LIMITED,09221800,HOLM OAK,MAIDENHEAD,SL6 9UB,,,,,,,,NOT CHECKED,
HIMBOL SHOPPING CENTRE LIMITED,16278184,136-150 SOHO HILL,BIRMINGHAM,B19 1AF,,,,,,,,NOT CHECKED,
IMAGE SCAN HOLDINGS PLC,03062983,16 & 18 HAYHILL,LOUGHBOROUGH,LE12 8LD,,,,,,,,NOT CHECKED,
IN2INTERIORS LTD,08620572,17 THE RYDE,STAINES UPON THAMES,TW18 2SL,,,,,,,,NOT CHECKED,
INFINIITY 3 CONTRACTS LIMITED,08626768,30 DRAPER CLOSE,GRAYS,RM20 4BJ,,,,,,,,NOT CHECKED,
INKY SIREN LTD,16927638,153 RALEIGH CRESCENT,STEVENAGE,SG2 0EB,,,,,,,,NOT CHECKED,
INTERNATIONAL PENTECOSTAL HOLINESS CHURCH (IPHC) IN SCOTLAND,CS007797,,,,,,,,,,,NOT CHECKED,
IPLEX PICTURES LTD,13907680,28-29 THE BROADWAY NO:1,LONDON,W5 2NP,,,,,,,,NOT CHECKED,
J & D ESTATE HOLDINGS LTD,15690797,2-3 CHARTER POINT WAY,ASHBY-DE-LA-ZOUCH,LE65 1NF,,,,,,,,NOT CHECKED,
