Company,OfficialWebsite,VATCandidate,Status,Notes
AJ PARTITIONS AND CEILINGS LTD,,,NOT FOUND,No clear official company website identified through initial web search.
ANDREWS RESIDENTIAL LIMITED,,,NOT FOUND,"A similar website was found, but its legal information referred to a different registered company."
AOB SUBSEA LTD,,,NOT FOUND,No clear official company website identified through initial web search.
ARLINGTON GROUP ASSET MANAGEMENT LIMITED,https://www.agam.co.uk/,69706407,VAT CANDIDATE - FORMAT ISSUE,"VAT number found in an official company document, but it contains only 8 digits."
ASTRAZENECA UK LIMITED,https://www.astrazeneca.co.uk/,582323642,VAT CANDIDATE - NOT VERIFIED,VAT number found on an official company legal page.
AUDIO NUTRITION LTD,,,NOT FOUND,No clear official company website identified through initial web search.
AV GLOBAL HOLDINGS LTD,,,NOT FOUND,No clear official company website identified through initial web search.
AVATAR INVESTMENTS LTD,,,UNRESOLVED,"The company name produced ambiguous search results, so the official website could not be confirmed."
B & D ELIAS PROPERTIES LTD,,,NOT FOUND,No clear official company website identified through initial web search.
BLAIRGOWRIE EVANGELICAL CHURCH SCIO,https://www.hopeblair.com/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
BLOOMSBURY COURT INTERIORS LIMITED,https://www.bloomsburycourtinteriors.co.uk/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
BRACI1 LIMITED,https://www.braci.co/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
BURLINGTON WELLESLEY SEARCH LIMITED,https://www.burlingtonwellesleysearch.co.uk/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
CAD CONSULTANTS LTD,,,NOT FOUND,No clear official company website identified through initial web search.
CANDEY LIMITED,https://www.candey.com/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
CHARLIE PERKINS LIMITED,,,NOT FOUND,No clear official company website identified through initial web search.
CHRONOBAND104 LTD,,,NOT FOUND,No clear official company website identified through initial web search.
CLARITY FINANCIAL LIMITED,https://clarityfin.co.uk/,,WEBSITE FOUND - VAT NOT FOUND,"A VAT number appeared on the website, but it belonged to another company, so it was rejected."
CO BUILT FABRICATION LIMITED,https://www.co-built.net/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
CUBAN BOXING ACADEMY CIC,https://www.cubanboxingacademy.com/,,WEBSITE FOUND - VAT NOT FOUND,"Official website identified, but no VAT registration number was found."
